sigla_uf,id_municipio,ano,populacao_atendida_agua,populacao_atendida_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
PE,2611903,2022,12354,3735,2382713.31,1826079.18,556634.13,23471.05,0.0,2406184.36,0.0,1896774.95,5220154.07,1788531.69,12,158144.46,473939.82,389809.13,3063549.16,113879.13,4111985.56,862002.25,0.0,108469.39,25518.96,144654.67,47036.06,90564.27,113879.13,0.0,204443.4,0.0,,,36368.5,509673.95,3600.0,3713.06,36368.5,191840.4,325146.61,553355.51,,,,,,,,0.0,,,0.0,,,
PE,2612802,2022,9926,3200,1548293.24,1548293.24,0.0,13243.25,0.0,1561536.49,0.0,1508875.66,561249.02,483132.92,6,11468.08,518643.83,452984.23,1609506.78,26222.32,1672275.5,16991.67,0.0,72227.54,15980.88,71050.18,3573.85,58773.31,26222.32,0.0,84995.63,0.0,0.0,0.0,23601.99,66240.08,0.0,1895.98,23601.99,59343.65,8792.41,91738.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2421923.11,0.0,0.0,0.0,0.0,0.0,0.0
AL,2700706,2017,12552,3699,2486252.42,1884645.14,601607.28,267169.08,0.0,2753421.5,0.0,2875461.03,3430465.48,1457181.05,18,5327.37,315294.29,100637.99,2012949.09,306786.76,2319886.81,150.96,0.0,127329.39,0.0,7179.0,0.0,5399.1,306786.76,0.0,312185.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179467.78,0.0,0.0,179467.78,0.0,0.0,179467.78
AL,2701407,2020,50448,13900,2078273.03,2052273.03,26000.0,242944.41,0.0,2321217.44,0.0,2896749.44,1461914.5,744192.27,42,80500.0,1189735.59,90816.06,2300242.92,0.0,2379892.41,395.76,0.0,0.0,23273.73,194999.0,55980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,95000.0,80000.0,475000.0,0.0,0.0,475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2704708,2018,51364,28492,11634873.12,9882411.59,1752461.53,0.0,0.0,11634873.12,0.0,11634873.12,0.0,5603552.33,30,1195353.15,1820624.8,1817740.57,11403830.57,0.0,11403830.57,0.0,0.0,90112.73,0.0,876446.99,0.0,121739.32,0.0,0.0,121739.32,0.0,0.0,0.0,0.0,130679.19,0.0,0.0,130679.19,0.0,0.0,130679.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2602209,2018,25767,675,3570686.04,3540686.04,30000.0,98346.39,0.0,3669032.43,0.0,3299942.32,931289.39,1389096.35,14,380392.33,2632552.6,538079.73,6412557.81,69453.47,6916025.99,76414.72,0.0,335943.24,1000.0,1136493.56,341599.99,201330.41,69453.47,0.0,270783.88,0.0,80000.0,0.0,39244.84,36207.85,0.0,0.0,57544.27,0.0,17908.42,75452.69,10000.0,70000.0,1500000.0,,,0.0,1660000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2606309,2021,4507,1029,728458.8,626186.23,102272.57,6184.91,0.0,734643.71,0.0,644685.26,201458.27,119441.18,1,2116.0,496401.17,259767.15,1005987.84,14611.09,1343431.81,267150.17,0.0,37805.36,16626.86,90456.98,39055.85,32047.95,14582.27,28.82,46659.04,0.0,0.0,0.0,9181.89,34454.4,0.0,0.0,43636.29,,,43636.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2607901,2021,569150,153937,123183041.0,101056119.31,22126921.69,455698.86,0.0,123638739.86,0.0,81011935.16,40659421.23,18441205.92,141,5937768.72,29684308.98,37623778.94,106145765.16,1012200.77,124062890.77,14104628.18,0.0,4914742.42,1349234.6,9543960.18,1451062.06,6255267.28,1010204.47,1996.3,7267468.05,0.0,0.0,0.0,1792162.73,13140765.46,76514873.97,0.0,82049515.2,9229440.37,168846.59,91447802.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2607901,2020,563775,153937,84313618.7,77963125.03,6350493.67,170778.41,0.0,84484397.11,0.0,66756870.18,35126193.1,8016088.46,80,5235719.09,15978926.16,25253613.56,70236930.63,797802.66,90275113.85,13063986.34,0.0,3363983.73,930224.32,12388599.63,5246169.9,5182626.48,795638.63,2164.03,5980429.14,0.0,,0.0,1882161.91,3391897.44,75900313.28,0.0,79972400.94,1024598.09,177373.6,81174372.63,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2608206,2017,11946,9702,1174721.27,1174721.27,0.0,49724.53,0.0,1224445.8,0.0,906513.43,911216.87,422899.53,5,15996.28,255862.34,146501.19,1562365.06,44541.4,1713940.75,27.22,0.0,115020.6,1000.0,606085.12,104007.07,66441.32,44541.4,0.0,110982.72,0.0,0.0,0.0,8951.41,0.0,0.0,0.0,8951.41,0.0,0.0,8951.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.98,0.0,0.0,0.0,0.0,1621.98,1621.98
